"Comment","Designator","Footprint Type","Footprint","LCSC","JLC","QTY"
"1N4148","D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D16,D17","SMD","Diode_SMD_SOD-123_inSilk","C81598","SOD-323","16"
"SW_Push","SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17","SMD","SW_MX_Slim_HotSwap_THT_sqSilk","C41430893","SMD,14.5x5.9mm","17"
